IdDelatnost,Naziv
0000,непозната
0111,"Гајење жита (осим пиринча), легуминоза и уљарица"
0112,Гајење пиринча
0113,"Гајење поврћа, бостана, коренастих и кртоластих биљака"
0114,Гајење шећерне трске
0115,Гајење дувана
0116,Гајење биљака за производњу влакана
0119,Гајење осталих једногодишњих и двогодишњих биљака
0121,Гајење грожђа
0122,Гајење тропског и суптропског воћа
0123,Гајење агрума
0124,Гајење јабучастог и коштичавог воћа
0125,"Гајење осталог дрвенастог, жбунастог и језграстог воћа"
0126,Гајење уљних плодова
0127,Гајење биљака за припремање напитака
0128,"Гајење зачинског, ароматичног и лековитог биља"
0129,Гајење осталих вишегодишњих биљака
0130,Гајење садног материјала
0141,Узгој музних крава
0142,Узгој других говеда и бивола
0143,Узгој коња и других копитара
0144,Узгој камила и лама
0145,Узгој оваца и коза
0146,Узгој свиња
0147,Узгој живине
0149,Узгој осталих животиња
0150,Мешовита пољопривредна производња
0161,Услужне делатности у гајењу усева и засада
0162,Помоћне делатности у узгоју животиња
0163,Активности после жетве
0164,Дорада семена
0170,"Лов, траперство и одговарајуће услужне делатности"
0210,Гајење шума и остале шумарске делатности
0220,Сеча дрвећа
0230,Сакупљање шумских плодова
0240,Услужне делатности у вези са шумарством
0311,Морски риболов
0312,Слатководни риболов
0321,Морске аквакултуре
0322,Слатководне аквакултуре
0510,Експлоатација каменог угља и антрацита
0520,Експлоатација лигнита и мрког угља
0610,Експлоатација сирове нафте
0620,Експлоатација природног гаса
0710,Експлоатација руда гвожђа
0721,Експлоатација руда урана и торијума
0729,"Експлоатација руда осталих црних, обојених, племенитих и других метала"
0811,"Експлоатација грађевинског и украсног камена, кречњака, гипса, креде"
0812,"Експлоатација шљунка, песка, глине и каолина"
0891,"Експлоатација минерала, производња минералних ђубрива и хемикалија"
0892,Експлоатација тресета
0893,Експлоатација натријум-хлорида
0899,Експлоатација осталих неметаличних руда и минерала
0910,Услужне делатности у вези са истраживањем и експлоатацијом нафте и гаса
0990,Услужне делатности у вези са истраживањем и експлоатацијом осталих руда
1011,Прерада и конзервисање меса
1012,Прерада и конзервисање живинског меса
1013,Производња месних прерађевина
1020,"Прерада и конзервисање рибе, љускара и мекушаца"
1031,Прерада и конзервисање кромпира
1032,Производња сокова од воћа и поврћа
1039,Остала прерада и конзервисање воћа и поврћа
1041,Производња уља и масти
1042,Производња маргарина и сличних јестивих масти
1051,Прерада млека и производња сирева
1052,Производња сладоледа
1061,Производња млинских производа
1062,Производња скроба и скробних производа
1071,"Производња хлеба, свежег пецива и колача"
1072,"Производња двопека, кекса, трајног пецива и колача"
1073,"Производња макарона, резанаца и сличних производа од брашна"
1081,Производња шећера
1082,"Производња какаоа, чоколаде и кондиторских производа"
1083,Прерада чаја и кафе
1084,Производња зачина и других додатака храни
1085,Производња готових јела
1086,Производња хомогенизованих хранљивих препарата и дијететске хране
1089,Производња осталих прехрамбених производа
1091,Производња готове хране за домаће животиње
1092,Производња готове хране за кућне љубимце
1101,"Дестилација, пречишћавање и мешање пића"
1102,Производња вина од грожђа
1103,Производња пића и осталих воћних вина
1104,Производња осталих недестилованих ферментисаних пића
1105,Производња пива
1106,Производња слада
1107,"Производња освежавајућих пића, минералне воде и остале флаширане воде"
1200,Производња дуванских производа
1310,Припрема и предење текстилних влакана
1320,Производња тканина
1330,Довршавање текстила
1391,Производња плетених и кукичаних материјала
1392,"Производња готових текстилних производа, осим одеће"
1393,Производња тепиха и прекривача за под
1394,"Производња ужади, канапа, плетеница и мрежа"
1395,"Производња нетканог текстила и предмета од њега, осим одеће"
1396,Производња осталог техничког и индустријског текстила
1399,Производња осталих текстилних предмета
1411,Производња кожне одеће
1412,Производња радне одеће
1413,Производња остале одеће
1414,Производња рубља
1419,Производња осталих одевних предмета и прибора
1420,Производња производа од крзна
1431,Производња плетених и кукичаних чарапа
1439,Производња остале плетене и кукичане одеће
1511,Штављење и дорада коже; дорада и бојење крзна
1512,"Производња путних и ручних торби и сл., сарачких производа и каишева"
1520,Производња обуће
1610,Резање и обрада дрвета
1621,Производња фурнира и плоча од дрвета
1622,Производња паркета
1623,Производња остале грађевинске столарије и елемената
1624,Производња дрвне амбалаже
1629,"Производња осталих производа од дрвета, плуте, сламе и прућа"
1711,Производња влакана целулозе
1712,Производња папира и картона
1721,Производња таласастог папира и картона и амбалаже од папира и картона
1722,Производња предмета од папира за личну употребу и употребу у домаћинству
1723,Производња канцеларијских предмета од папира
1724,Производња тапета
1729,Производња осталих производа од папира и картона
1811,Штампање новина
1812,Остало штампање
1813,Услуге припреме за штампу
1814,Књиговезачке и сродне услуге
1820,Умножавање снимљених записа
1910,Производња продуката коксовања
1920,Производња деривата нафте
2011,Производња индустријских гасова
2012,Производња средстава за припремање боја и пигмената
2013,Производња осталих основних неорганских хемикалија
2014,Производња осталих основних органских хемикалија
2015,Производња вештачких ђубрива и азотних једињења
2016,Производња пластичних маса у примарним облицима
2017,Производња синтетичког каучука у примарним облицима
2020,Производња пестицида и хемикалија за пољопривреду
2030,"Производња боја, лакова и сличних премаза, графичких боја и китова"
2041,"Производња детерџената, сапуна средстава за чишћење и полирање"
2042,Производња парфема и тоалетних препарата
2051,Производња експлозива
2052,Производња средстава за лепљење
2053,Производња етеричних уља
2059,Производња осталих хемијских производа
2060,Производња вештачких влакана
2110,Производња основних фармацеутских производа
2120,Производња фармацеутских препарата
2211,"Производња гума за возила, протектирање гума за возила"
2219,Производња осталих производа од гуме
2221,"Производња плоча, листова, цеви и профила од пластике"
2222,Производња амбалаже од пластике
2223,Производња предмета од пластике за грађевинарство
2229,Производња осталих производа од пластике
2311,Производња равног стакла
2312,Обликовање и обрада равног стакла
2313,Производња шупљег стакла
2314,Производња стаклених влакана
2319,"Производња и обрада осталог стакла, укључујући техничке стаклене производе"
2320,Производња ватросталних производа
2331,Производња керамичких плочица и плоча
2332,"Производња опеке, црепа и грађевинских производа од печене глине"
2341,Производња керамичких предмета за домаћинство и украсних предмета
2342,Производња санитарних керамичких производа
2343,Производња изолатора и изолационог прибора од керамике
2344,Производња осталих техничких производа од керамике
2349,Производња осталих керамичких производа
2351,Производња цемента
2352,Производња креча и гипса
2361,Производња производа од бетона намењених за грађевинарство
2362,Производња производа од гипса намењених за грађевинарство
2363,Производња свежег бетона
2364,Производња малтера
2365,Производња производа од цемента с влакнима
2369,"Производња осталих производа од бетона, гипса и цемента"
2370,"Сечење, обликовање и обрада камена"
2391,Производња брусних производа
2399,Производња осталих производа од неметалних минерала
2410,"Производња сировог гвожђа, челика и феролегура"
2420,"Производња челичних цеви, шупљих профила и фитинга"
2431,Хладно ваљање шипки
2432,Хладно ваљање пљоснатих производа
2433,Хладно обликовање профила
2434,Хладно вучење жице
2441,Производња племенитих метала
2442,Производња алуминијума
2443,"Производња олова, цинка и калаја"
2444,Производња бакра
2445,Производња осталих обојених метала
2446,Производња нуклеарног горива
2451,Ливење гвожђа
2452,Ливење челика
2453,Ливење лаких метала
2454,Ливење осталих обојених метала
2511,Производња металних конструкција и делова конструкција
2512,Производња металних врата и прозора
2521,Производња котлова и радијатора за централно грејање
2529,"Производња осталих металних цистерни, резервоара и контејнера"
2530,"Производња парних котлова, осим котлова за централно грејање"
2540,Производња оружја и муниције
2550,"Ковање, пресовање, штанцовање и ваљање метала; металургија праха"
2561,Обрада и превлачење метала
2562,Машинска обрада метала
2571,Производња сечива
2572,Производња брава и окова
2573,Производња алата
2591,Производња челичних буради и сличне амбалаже
2592,Производња амбалаже од лаких метала
2593,"Производња жичаних производа, ланаца и опруга"
2594,Производња везних елемената и вијчаних машинских производа
2599,Производња осталих металних производа
2611,Производња електронских елемената
2612,Производња штампаних електронских плоча
2620,Производња рачунара и периферне опреме
2630,Производња комуникационе опреме
2640,Производња електронских уређаја за широку потрошњу
2651,"Производња мерних, истраживачких и навигационих инструмената и апарата"
2652,Производња сатова
2660,"Производња опреме за зрачење, електромедицинске и електротерапеутске опреме"
2670,Производња оптичких инструмената и фотографске опреме
2680,Производња магнетних и оптичких носилаца записа
2711,"Производња електромотора, генератора и трансформатора"
2712,Производња опреме за дистрибуцију електричне енергије и опреме за управљање електричном енергијом
2720,Производња батерија и акумулатора
2731,Производња каблова од оптичких влакана
2732,Производња осталих електронских и електричних проводника и каблова
2733,Производња опреме за повезивање жица и каблова
2740,Производња опреме за осветљење
2751,Производња електричних апарата за домаћинство
2752,Производња неелектричних апарата за домаћинство
2790,Производња остале електричне опреме
2811,"Производња мотора и турбина, осим за летелице и моторна возила"
2812,Производња хидрауличних погонских уређаја
2813,Производња осталих пумпи и компресора
2814,Производња осталих славина и вентила
2815,"Производња лежајева, зупчаника и зупчастих погонских елемената"
2821,Производња индустријских пећи и горионика
2822,Производња опреме за подизање и преношење
2823,"Производња канцеларијских машина и опреме, осим рачунара и рачунарске опреме"
2824,Производња ручних погонских апарата са механизмима
2825,"Производња расхладне и вентилационе опреме, осим за домаћинство"
2829,Производња осталих машина и апарата опште намене
2830,Производња машина за пољопривреду и шумарство
2841,Производња машина за обраду метала
2849,Производња осталих алатних машина
2891,Производња машина за металургију
2892,"Производња машина за руднике, каменоломе и грађевинарство"
2893,"Производња машина за индустрију хране, пића и дувана"
2894,"Производња машина за индустрију текстила, одеће и коже"
2895,Производња машина за индустрију папира и картона
2896,Производња машина за израду пластике и гуме
2899,Производња машина за остале специјалне намене
2910,Производња моторних возила
2920,"Производња каросерија за моторна возила, приколице и полуприколице"
2931,Производња електричне и електронске опреме за моторна возила
2932,Производња осталих делова и додатне опреме за моторна возила
