IdMesta,Naziv
700029,Александровац
700037,Бзенице
700045,Боботе
700053,Ботурићи
700061,Братићи
700070,Велика Врбница
700088,Веља Глава
700096,Венчац
700100,Витково
700118,Вражогрнци
700126,Вранштица
700134,Врбница
700142,Гаревина
700169,Горња Злегиња
700177,Горње Ратаје
700185,Горњи Вратари
700193,Горњи Ступањ
700207,Грчак
700215,Дашница
700223,Доброљубци
700231,Доња Злегиња
700240,Доње Ратаје
700258,Доњи Вратари
700266,Доњи Ступањ
700274,Дренча
700282,Јелакци
700304,Кожетин
700312,Козница
700339,Латковац
700347,Лаћислед
700355,Лесеновци
700363,Лесковица
700371,Љубинци
700380,Мрмош
700398,Новаци
700401,Пањевац
700410,Парчин
700428,Плеш
700436,Плоча
700444,Поповци
700452,Пуховац
700479,Ракља
700487,Ржаница
700495,Рогавчина
700509,Рокци
700517,Руденице
700525,Стањево
700533,Старци
700541,Стрменица
700550,Стубал
700568,Суботица
700576,Тржац
700584,Трнавци
700592,Тулеш
700606,Шљивово
700614,Алексинац
700622,Алексиначки Бујмир
700649,Алексиначки Рудник
700657,Банковац
700665,Бели Брег
700673,Беља
700681,Бобовиште
700690,Бован
700703,Брадарац
700711,Вакуп
700720,Велики Дреновац
700738,Витковац
700746,Врело
700754,Врћеновица
700762,Вукања
700789,Вукашиновац
700797,Глоговица
700819,Голешница
700827,Горња Пешчаница
700835,Горње Сухотно
700843,Горњи Адровац
700851,Горњи Крупац
700860,Горњи Љубеш
700878,Гредетин
700886,Грејач
700894,Дашница
700908,Делиград
700916,Добрујевац
700924,Доња Пешчаница
700932,Доње Сухотно
700959,Доњи Адровац
700967,Доњи Крупац
700975,Доњи Љубеш
700983,Дражевац
700991,Житковац
701009,Јаковље
701017,Јасење
701025,Каменица
701033,Катун
701041,Копривница
701050,Корман
701068,Краљево
701076,Крушје
701084,Кулина
701092,Липовац
701106,Лознац
701114,Лоћика
701122,Лужане
701149,Љуптен
701157,Мали Дреновац
701165,Мозгово
701173,Моравац
701181,Моравски Бујмир
701190,Нозрина
701203,Породин
701211,Преконози
701220,Прћиловица
701238,Пруговац
701246,Радевце
701254,Рсовац
701262,Рутевац
701289,Срезовац
701297,Станци
701319,Стублина
701327,Суботинац
701335,Тешица
701343,Трњане
701351,Ћићина
701360,Црна Бара
701378,Честа
701386,Чукуровац
701394,Шурић
701408,Аранђеловац
701416,Бања
701424,Босута
701432,Брезовац
701459,Буковик
701467,Венчане
701475,Врбица
701483,Вукосавци
701491,Гараши
701505,Горња Трешњевица
701513,Јеловик
701521,Копљаре
701530,Мисача
701548,Орашац
701556,Даросава
701564,Прогореоци
701572,Раниловић
701599,Стојник
701602,Тулеж
701629,Ариље
701637,Бјелуша
701645,Богојевићи
701653,Бреково
701661,Вигоште
701670,Вирово
701688,Висока
701696,Вране
701700,Грдовићи
701718,Гривска
701726,Добраче
701734,Драгојевац
701742,Крушчица
701769,Латвица
701777,Миросаљци
701785,Поглед
701793,Радобуђа
701807,Радошево
701815,Северово
701823,Ступчевићи
701831,Трешњевица
701840,Церова
701858,Александровац
701866,Бабушница
701874,Бердуј
701882,Берин Извор
701904,Богдановац
701912,Братишевац
701939,Брестов Дол
701947,Вава
701955,Валниш
701963,Велико Боњинце
701971,Војници
701980,Врело
701998,Вучи Дел
702005,Горње Крњино
702013,Горњи Стрижевац
702021,Горчинци
702030,Грнчар
702048,Дол
702056,Доње Крњино
702064,Доњи Стрижевац
702072,Драгинац
702099,Дучевац
702102,Завидинце
702129,Звонце
702137,Извор
702145,Јасенов Дел
702153,Калуђерово
702161,Камбелевци
702170,Кијевац
702188,Лесковица
702196,Линово
702200,Љуберађа
702218,Мало Боњинце
702226,Масуровци
702234,Мезграја
702242,Модра Стена
702269,Нашушковица
702277,Остатовица
702285,Пресека
702293,Проваљеник
702307,Радињинци
702315,Радосињ
702323,Радошевац
702331,Ракита
702340,Раков Дол
702358,Раљин
702366,Ресник
702374,Стол
702382,Стрелац
702404,Студена
702412,Сурачево
702439,Црвена Јабука
702447,Штрбовац
702455,Бајина Башта
702463,Бачевци
702471,Бесеровина
702480,Вишесава
702498,Гвоздац
702501,Добротин
702510,Драксин
702528,Дуб
702536,Заглавак
702544,Заовине
702552,Зарожје
702579,Зауглине
702587,Злодол
702595,Јагоштица
702609,Јакаљ
702617,Јеловик
702625,Коњска Река
702633,Костојевићи
702641,Луг
702650,Љештанско
702668,Мала Река
702676,Обајгора
702684,Овчиња
702692,Оклетац
702706,Пепељ
702714,Перућац
702722,Пилица
702749,Придоли
702757,Растиште
702765,Рача
702773,Рогачица
702781,Сијерач
702790,Солотуша
702803,Стрмово
702811,Церје
702820,Црвица
702838,Бадњевац
702846,Баточина
702854,Брзан
702862,Градац
702889,Доброводица
702897,Жировница
702919,Кијево
702943,Милатовац
702951,Никшић
702960,Прњавор
702978,Црни Као
702986,Бабин Кал
702994,Бежиште
703001,Бела Паланка
703010,Букуровац
703028,Вета
703036,Витановац
703044,Врандол
703052,Вргудинац
703079,Глоговац
703087,Горња Глама
703095,Горња Коритница
703109,Горњи Рињ
703117,Градиште
703125,Дивљана
703133,Долац (насеље)
703141,Долац (село)
703150,Доња Глама
703168,Доња Коритница
703176,Доњи Рињ
703184,Дражево
703192,Клење
703206,Клисура
703214,Козја
703222,Космовац
703249,Кременица
703257,Крупац
703265,Ланиште
703273,Лесковик
703281,Љубатовица
703290,Мирановац
703303,Мирановачка Кула
703311,Моклиште
703320,Мокра
703338,Ново Село
703346,Ореовац
703354,Пајеж
703362,Сињац
703389,Тамњаница
703397,Теловац
703419,Топоница
703427,Црвена Река
703435,Црвени Брег
703443,Црнче
703451,Чифлик
703460,Шљивовик
703478,Шпај
703486,Арнајево
703494,Барајево
703508,Баћевац
703516,Бељина
703524,Бождаревац
703532,Велики Борак
703559,Вранић
703567,Гунцати
703575,Лисовић
703583,Манић
703591,Мељак
703605,Рожанци
703613,Шиљаковац
703621,Бели Поток
703630,Зуце
703648,Пиносава
703656,Рипањ
791016,Београд (Вождовац)
791024,Београд (Врачар)
703664,Бегаљица
703672,Болеч
703699,Брестовик
703702,Винча
703729,Врчин
703737,Гроцка
703745,Дражањ
703753,Живковац
703761,Заклопача
703770,Калуђерица
703788,Камендол
703796,Лештане
703800,Пударци
703818,Ритопек
703826,Умчари
791032,Београд (Звездара)
703915,Угриновци
791059,Београд (Земун)
703923,Араповац
703931,Барзиловица
703940,Барошевац
703958,Бистрица
703966,Брајковац
703974,Бурово
703982,Велики Црљени
704008,Врбовно
704016,Вреоци
704024,Дрен
704032,Дудовица
704059,Жупањац
704067,Зеоке
704075,Јунковац
704083,Крушевица
704091,Лазаревац
704105,Лесковац
704113,Лукавица
704121,Мали Црљени
704130,Медошевац
704148,Миросаљци
704156,Петка
704164,Пркосава
704172,Рудовци
704199,Сакуља
704202,Соколово
704229,Степојевац
704237,Стрмово
704245,Стубица
704253,Трбушница
704261,Цветовац
704270,Чибутковица
704288,Шопић
704296,Шушњар
704300,Амерић
704318,Белуће
704326,Бељевац
704334,Велика Иванча
704342,Велика Крсна
704369,Влашка
704377,Границе
704385,Дубона
704393,Јагњило
704407,Ковачевац
704415,Кораћица
704423,Мала Врбица
704431,Марковац
704440,Међулужје
704458,Младеновац (варош)
704466,Младеновац (село)
704474,Пружатовац
704482,Рабровац
704504,Рајковац
704512,Сенаја
704539,Црквине
704547,Шепшин
791067,Београд (Нови Београд)
704555,Баљевац
704563,Барич
704571,Бело Поље
704580,Бргулице
704598,Бровић
704601,Велико Поље
704610,Вукићевица
704628,Грабовац
704636,Дражевац
704644,Дрен
704652,Забрежје
704679,Звечка
704687,Јасенак
704695,Конатице
704709,Кртинска
704717,Љубинић
704725,Мала Моштаница
704733,Мислођин
704741,Обреновац
704750,Орашац
704768,Пироман
704776,Пољане
704784,Ратари
704792,Рвати
704806,Скела
704814,Стублине
704822,Трстеница
704849,Уровци
704857,Ушће
704865,Борча
704873,Велико Село
704881,Дунавац
704890,Ковилово
704903,Овча
704911,Падинска Скела
704920,Сланци
791075,Београд (Палилула)
791083,Београд (Раковица)
791091,Београд (Савски Венац)
704938,Бабе
704946,Губеревац
704954,Дрлупа
704962,Дучина
704989,Ђуринци
704997,Мала Иванча
705004,Мали Пожаревац
705012,Неменикуће
705039,Парцани
705047,Поповић
705055,Раља
705063,Рогача
705071,Ропочево
705080,Сибница
705098,Слатина
705101,Сопот
705110,Стојник
791105,Београд (Стари Град)
705128,Велика Моштаница
705136,Остружница
705144,Пећани
705152,Руцка
705179,Рушањ
705187,Сремчица
705195,Умка
791113,Београд (Чукарица)
705209,Алабана
705217,Барбатовац
705225,Блаце
705233,Брежани
705241,Више Село
705250,Врбовац
705268,Горња Драгуша
705276,Горња Јошаница
705284,Горње Гргуре
705292,Горње Сварче
705306,Доња Драгуша
705314,Доња Јошаница
705322,Доња Рашица
705349,Доње Гргуре
705357,Доње Сварче
705365,Дрешница
705373,Ђуревац
705381,Качапор
705390,Кашевар
705403,Криваја
705411,Кутловац
705420,Лазаревац
705438,Мала Драгуша
705446,Међухана
705454,Музаће
705462,Попова
705489,Пребреза
705497,Претежана
705519,Претрешња
705527,Придворица
705535,Рашица
705543,Сибница
705551,Стубал
705560,Суваја
705578,Суви До
705586,Трбуње
705594,Чунгула
705608,Чучале
705616,Џепница
705624,Шиљомана
705632,Бадовинци
705659,Баново Поље
705667,Белотић
705675,Богатић
705683,Глоговац
705691,Глушци
705705,Дубље
705713,Клење
705721,Метковић
705730,Очаге
705748,Салаш Црнобарски
705756,Совљак
705764,Узвеће
705772,Црна Бара
705799,Бојник
705802,Боринце
705829,Брестовац
705837,Вујаново
705845,Горње Бријање
705853,Горње Коњувце
705861,Граница
705870,Добра Вода
705888,Доње Коњувце
705896,Драговац
705900,Дубрава
705918,Ђинђуша
705926,Зелетово
705934,Зоровац
705942,Ивање
705969,Каменица
705977,Кацабаћ
705985,Косанчић
705993,Лапотинце
706019,Лозане
706027,Магаш
706035,Мајковац
706043,Мијајлица
706051,Мрвеш
706060,Обилић
706078,Ображда
706086,Оране
706094,Плавце
