IdOpstine,Naziv
70017,АЛЕКСАНДРОВАЦ
70025,АЛЕКСИНАЦ
70033,АРАНЂЕЛОВАЦ
70041,АРИЉЕ
70050,БАБУШНИЦА
70068,БАЈИНА БАШТА
70076,БАТОЧИНА
70084,БЕЛА ПАЛАНКА
70092,БАРАЈЕВО
70106,ВОЖДОВАЦ
70114,ВРАЧАР
70122,ГРОЦКА
70149,ЗВЕЗДАРА
70157,ЗЕМУН
70165,ЛАЗАРЕВАЦ
70173,МЛАДЕНОВАЦ
70181,НОВИ БЕОГРАД
70190,ОБРЕНОВАЦ
70203,ПАЛИЛУЛА
70211,РАКОВИЦА
70220,САВСКИ ВЕНАЦ
70238,СОПОТ
70246,СТАРИ ГРАД
70254,ЧУКАРИЦА
70262,БЛАЦЕ
70289,БОГАТИЋ
70297,БОЈНИК
70319,БОЉЕВАЦ
70327,БОР
70335,БОСИЛЕГРАД
70343,БРУС
70351,БУЈАНОВАЦ
70360,ВАЉЕВО
70378,ВАРВАРИН
70386,ВЕЛИКА ПЛАНА
70394,ВЕЛИКО ГРАДИШТЕ
70408,ВЛАДИМИРЦИ
70416,ВЛАДИЧИН ХАН
70424,ВЛАСОТИНЦЕ
70432,ВРАЊЕ
70459,ВРЊАЧКА БАЊА
70467,ГАЏИН ХАН
70475,ГОЛУБАЦ
70483,ГОРЊИ МИЛАНОВАЦ
70491,ДЕСПОТОВАЦ
70505,ДИМИТРОВГРАД
70513,ДОЉЕВАЦ
70521,ЖАБАРИ
70530,ЖАГУБИЦА
70548,ЖИТОРАЂА
70556,ЗАЈЕЧАР
70564,ИВАЊИЦА
70572,КЛАДОВО
70599,КНИЋ
70602,КЊАЖЕВАЦ
70629,КОСЈЕРИЋ
70637,КОЦЕЉЕВА
70645,КРАГУЈЕВАЦ - ГРАД
70653,КРАЉЕВО
70661,КРУПАЊ
70670,КРУШЕВАЦ
70688,КУРШУМЛИЈА
70696,КУЧЕВО
70700,ЛАЈКОВАЦ
70718,ЛЕБАНЕ
70726,ЛЕСКОВАЦ
70734,ЛОЗНИЦА
70742,ЛУЧАНИ
70769,ЉИГ
70777,ЉУБОВИЈА
70785,МАЈДАНПЕК
70793,МАЛИ ЗВОРНИК
70807,МАЛО ЦРНИЋЕ
70815,МЕДВЕЂА
70823,МЕРОШИНА
70831,МИОНИЦА
70840,НЕГОТИН
70866,НОВА ВАРОШ
70874,НОВИ ПАЗАР
70882,ОСЕЧИНА
70904,ПАРАЋИН
70912,ПЕТРОВАЦ
70939,ПИРОТ
70947,ПОЖАРЕВАЦ
70955,ПОЖЕГА
70963,ПРЕШЕВО
70971,ПРИБОЈ
70980,ПРИЈЕПОЉЕ
70998,ПРОКУПЉЕ
71005,РАЖАЊ
71013,РАЧА
71021,РАШКА
71030,РЕКОВАЦ
71048,ЈАГОДИНА
71056,СВИЛАЈНАЦ
71064,СВРЉИГ
71072,СЈЕНИЦА
71099,СМЕДЕРЕВО
71102,СМЕДЕРЕВСКА ПАЛАНКА
71129,СОКОБАЊА
71137,СУРДУЛИЦА
71145,УЖИЦЕ
71153,ТОПОЛА
71161,ТРГОВИШТЕ
71170,ТРСТЕНИК
71188,ТУТИН
71196,ЋИЋЕВАЦ
71200,ЋУПРИЈА
71218,УБ
71226,ЦРНА ТРАВА
71234,ЧАЈЕТИНА
71242,ЧАЧАК
71269,ШАБАЦ
71277,ЛАПОВО
71285,НИШКА БАЊА
71293,СУРЧИН
71307,ПАНТЕЛЕЈ
71315,ЦРВЕНИ КРСТ
71323,ПАЛИЛУЛА
71331,МЕДИАНА
80012,АДА
80039,АЛИБУНАР
80047,АПАТИН
80055,БАЧ
80063,БАЧКА ПАЛАНКА
80071,БАЧКА ТОПОЛА
80080,БАЧКИ ПЕТРОВАЦ
80098,БЕЛА ЦРКВА
80101,БЕОЧИН
80110,БЕЧЕЈ
80128,ВРШАЦ
80136,ЖАБАЉ
80144,ЖИТИШТЕ
80152,ЗРЕЊАНИН
80179,ИНЂИЈА
80187,ИРИГ
80195,КАЊИЖА
80209,КИКИНДА
80217,КОВАЧИЦА
80225,КОВИН
80233,КУЛА
80241,МАЛИ ИЂОШ
80250,НОВА ЦРЊА
80268,НОВИ БЕЧЕЈ
80276,НОВИ КНЕЖЕВАЦ
80284,НОВИ САД - ГРАД
80292,ОПОВО
80306,ОЏАЦИ
80314,ПАНЧЕВО
80322,ПЕЋИНЦИ
80349,ПЛАНДИШТЕ
80357,РУМА
80365,СЕНТА
80373,СЕЧАЊ
80381,СОМБОР
80390,СРБОБРАН
80403,СРЕМСКА МИТРОВИЦА
80411,СРЕМСКИ КАРЛОВЦИ
80420,СТАРА ПАЗОВА
80438,СУБОТИЦА
80446,ТЕМЕРИН
80454,ТИТЕЛ
80462,ВРБАС
80489,ЧОКА
80497,ШИД
90018,ВИТИНА
90026,ВУЧИТРН
90034,ГЛОГОВАЦ
90042,ГЊИЛАНЕ
90069,ДЕЧАНИ
90085,ЂАКОВИЦА
90093,ЗУБИН ПОТОК
90107,ИСТОК
90115,КАЧАНИК
90123,КЛИНА
90131,КОСОВО ПОЉЕ
90140,КОСОВСКА КАМЕНИЦА
90158,ЛЕПОСАВИЋ
90166,ЛИПЉАН
90182,НОВО БРДО
90204,ОБИЛИЋ
90212,ОРАХОВАЦ
90239,ПЕЋ
90247,ПОДУЈЕВО
90255,ПРИЗРЕН
90263,ПРИШТИНА
90271,СРБИЦА
90280,СУВА РЕКА
90298,КОСОВСКА МИТРОВИЦА
90301,УРОШЕВАЦ
90310,ШТИМЉЕ
90328,ШТРПЦЕ
90336,ГОРА
90352,ЗВЕЧАН
