IdOblikOrg,Naziv
10,Ортачко друштво
11,Командитно друштво
12,Акционарско друштво
13,Једночлано акционарско друштво
14,Друштво са ограниченом одговорношћу
15,Једночлано друштво са огран.одговорношћу
16,Друштвено предузеће
17,Јавно предузеће
18,Предузетник
19,Пословно удружење
20,Задруга
21,Земљорадничка задруга
22,Стамбена задруга
23,Потрошачка задруга
24,Занатска задруга
25,Здравствена задруга
26,"Омладинска,студенстка и ученичка задруга"
29,Друга задруга
31,Банка
32,Друга финансијска организација
33,Берза
34,Берзански посредник
36,Акционарско друштво за осигурање
37,Друштво за узајамно осигурање
38,Агенција за посл. пруж. др.усл.у осигур.
71,Државни орган
72,Правосудни орган
73,Орган јединице локалне самоуправе
8,Представништво страног правног лица
81,Политичка организација
82,Друштвена организација
83,Удружење грађана
85,Установа
9,Огранак страног правног лица
90,Остали облици
