SifraNabavke,NazivDokumenta,NazivNarucioca,MaticniBroj,PIB,IdMesto,IdOpstina,IdVrstaPostupka,PredmetNabavke,VrstaPredmeta,OpstiRecnikNabavki,KontaktOsoba,Telefon,DatumPoslednjeIzmene,IdDelatnost,IdOblikOrg,IdOblikSvoj,IdKategorija,PozivZaPodnosenjePonuda,PozivZaPodnosenjePrijava,ObavestenjeOSistemuDinamickeNabavke,PozivZaUcesceNaKonkursZaDizajn,ObavestenjeOPriznavanjuKvalifikacije,ObavestenjeOPriznavanjuKvalifikacijeURestriktivnomPostupku,PodaciOObjaviIDodeliUgovora,ObavestenjeOZakljucenomOkvirnomSporazumu,ObavestenjeOZakljucenomUgovoru,ObavestenjeORezultatuKonkursa,ObavestenjeOObustaviPostupkaJavneNabavke,PodaciOIzmeniUgovoraOJavnojNabavci,KonkursnaDokumentacija,ObavestenjeOProduzenjuRoka,PregovarackiBezPonuda,ObavestenjeOZastitiPrava,MisljenjeUpraveJN,OdlukaOPriznavanjuKvalifikacije,OdlukaOIskljucenjuKandidata,OdlukaODodeliUgovora,OdlukaODodeliOkvirnogSporazuma,ObavestenjeOPonistenjuPostupka,OdlukaOObustaviPostupka,OdlukaONastavkuPostupka,OdlukaKomisijeOZakljucenjuUgovora,ObavestenjeOPriznavanjuKvalifikacijeOpste,Link
617456,ЈН бр. 1.1.1./2015  – намирнице и прехрамбени производи,ДОМ ЗА СМЕШТАЈ СТАРИХ ЛИЦА СМЕДЕРЕВО,07160887,100359820,740527,71099,1,"храна, намирнице",добра,"Јаја,Поврће, воће и коштуњаво воће,Месо,Живинско месо ,Месне прерађевине,Смрзнута риба, рибљи филети и остало рибље месо,Млечни производи,Млеко и павлака,Разни прехрамбени производи,Хлебни производи, свежа пецива и колачи",Stojanova Zora,026/4621-248,2015-12-01 14:26:03,8730,85,5,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=617456
792098,38/15-набавка услуга стручног надзора над извођењем радова санације и адаптације грађевинских објеката,ГРАДСКА ОПШТИНА ЧУКАРИЦА,07014210,102699531,791113,70254,7,архитектонске услуге; инжењерске услуге; услуге урбанистичког планирања и пејзажне архитектуре; услуге техничког тестирања и анализа; услуге енергентског прегледа и енергетске услуге,услуге,Надзор грађевинских радова,Радован Грубишић,011/3052-193,2015-12-02 15:17:31,8411,71,5,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=792098
840425,"Набавка услуге у области одбране и безбедности ради спровођења послова уговарања и посредовања у уговарању, у вези са набавком услуге Усавршавања авиона Ан-26 и продужења века употребе. ","МИНИСТАРСТВО ОДБРАНЕ, СЕКТОР ЗА МАТЕРИЈАЛНЕ РЕСУРСЕ, УПРАВА ЗА СНАБДЕВАЊЕ",07093608,102116082,791091,70220,3,друге услуге,услуге,Одбрамбене услуге,Мишо Симоновић,"011/2059-168, 2059-019",2015-12-01 12:53:41,8422,71,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=840425
876767,Штампање Информатора за бруцоше,Универзитет у Новом Саду Економски факултет у Суботици,08105090,100844270,804614,80438,1,издавачке и штампарске услуге на хонорарној или уговорној основи ,услуге,Услуге штампања и испоруке,Драгана Матковић,024/628-147,2015-12-01 11:30:47,8542,85,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=876767
877610,Моторна возила за превоз 10 и више лица,"МИНИСТАРСТВО ОДБРАНЕ, СЕКТОР ЗА МАТЕРИЈАЛНЕ РЕСУРСЕ, УПРАВА ЗА СНАБДЕВАЊЕ",07093608,102116082,791091,70220,3,друга добра,добра,Моторна возила за превоз 10 или више лица,Мишо Симоновић,"011/2059-168, 2059-019",2015-12-01 11:45:03,8422,71,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=877610
878388, 1.1.1681/15 - ВОЗИЛА,ЕЛЕКТРОПРИВРЕДА СРБИЈЕ ЈП БЕОГРАД – ОГРАНАК ПАНОНСКЕ ТЕ-ТО,20053658,103920327,802824,80284,1,превозна средства,добра,"Путнички аутомобили,Моторна возила за превоз робе",Драган Грк,021/4821-222  lokal : 5098,2015-12-01 11:07:24,3511,17,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=878388
879615,1.2.1905/15-ЗР  -УСЛУГЕ УКЛАЊАЊА ОТПАДА – ЗБРИЊАВАЊЕ ЈОНИЗУЈУЋИХ ДЕТЕКТОРА ДИМА,ЕЛЕКТРОПРИВРЕДА СРБИЈЕ ЈП БЕОГРАД – ОГРАНАК ПАНОНСКЕ ТЕ-ТО,20053658,103920327,802824,80284,1,архитектонске услуге; инжењерске услуге; услуге урбанистичког планирања и пејзажне архитектуре; услуге техничког тестирања и анализа; услуге енергентског прегледа и енергетске услуге,услуге,Услуге заштите од зрачења,Драган Грк,021/4821-222  lokal : 5098,2015-12-01 11:25:03,3511,17,5,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=879615
880896,1.1.1687/15 -УЉА И СРЕДСТАВА ЗА ПОДМАЗИВАЊЕ  ,ЕЛЕКТРОПРИВРЕДА СРБИЈЕ ЈП БЕОГРАД – ОГРАНАК ПАНОНСКЕ ТЕ-ТО,20053658,103920327,802824,80284,1,горива и мазива,добра,"Етерична уља,Мазива",Драган Грк,021/4821-222  lokal : 5098,2015-12-01 11:01:25,3511,17,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=880896
884854,"Ласерски штампачи, скенери и плотери за поштанску делатност, обликован по партијама, бр. ЈН: 274/2015","Јавно предузеће ПТТ саобраћаја""Србија""",07461429,100002803,791075,70203,1,друга добра,добра,Штампачи и плотери,Александра Пантовић и Марина Пејовић,064/666-13-09 и 064/665-05-52,2015-12-02 12:32:37,5310,17,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=884854
892421,"Набавке  брокерске услуге  ради спровођења послова уговарања и посредовања у уговарању, у вези са испоруком опреме за наоружање војне полиције.","МИНИСТАРСТВО ОДБРАНЕ, СЕКТОР ЗА МАТЕРИЈАЛНЕ РЕСУРСЕ, УПРАВА ЗА СНАБДЕВАЊЕ",07093608,102116082,791091,70220,7,друге услуге,услуге,Одбрамбене услуге,Мишо Симоновић,"011/2059-168, 2059-019",2015-12-01 14:52:25,8422,71,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://portal.ujn.gov.rs/Dokumenti/JavnaNabavka.aspx?idd=892421
