idNum,izvestaj,br,narucilac,maticni_broj,firma,opis_predmeta,predmet,cena_pdv,procenjena_cena,postupak,datum,broj_ponuda,br_nabavke
1,MO 2013 Q2,3,MO,7093608,"АК""Вождовац"" а.д","Одржавање м/в, аутобуси и инжињеријске машине",Usluge,20973000,17477000,Restriktivni postupak,3.4.2013.,3,1333
2,MO 2013 Q2,26,MO,7093608,"""Mercedes Benz SCG"" д.о.о",Одржавање путничких и теренских возила,Usluge,16230000,13583000,Restriktivni postupak,5.4.2013.,3,1328
4,MO 2013 Q2,44,MO,7093608,"АК ""Раде Кончар""","Одржавање м/в, аутобуси и инжињеријске машине",Usluge,25859000,21549000,Restriktivni postupak,8.4.2013.,3,1335
7,MO 2013 Q2,61,MO,7093608,"""MOTORFLEX-REMONT"" д.о.о",Одржавање путничких м/в и инжињеријских машина,Usluge,16112000,13426000,Restriktivni postupak,9.4.2013.,3,1330
8,MO 2013 Q2,68,MO,7093608,Предузеће ППТ-НАМЕНСКА а.д.,"Оправка, регенерација и ремонт хидропнеуматских компоненти борбених и неборбених возила, ваздухоплова, бродова и пловних објеката Речене флотиле",Usluge,86400000,72000000,Restriktivni postupak,10.4.2013.,3,1257
9,MO 2013 Q2,79,MO,7093608,"""МИД"" д.о.о","ТОд и СР интегралног транспорта, средстава са моторима мале снаге и дизалица и теретних м/в ТАМ",Usluge,11263000,9386000,Restriktivni postupak,10.4.2013,1,1399
10,MO 2013 Q2,100,MO,7093608,ОРАО (Бијељина),Održavanje vazduhoplovnih motora,Usluge,90000000,75000000,Restriktivni postupak,15.4.2013.,3,1258
81,MO 2014 Q2,84,MO,7093608,НЕКТАР,"Sok voćni nektar (jabuka, breskva)",Dobra,33600000,34000000,Pregovarački postupak sa objavljivanjem poziva za podnošenje ponuda,4.6.2014.,2,19/2014
113,MO 2014 Q3,129,MO,7093608,"ГП ""МОРАВА ин"" д.о.о","Beograd, VMA- Dodatni radovi na adaptaciji prostora za smeštaj izolatora u Sektoru za farmaciju",Radovi,395000,329000,Pregovarački postupak sa objavljivanjem poziva za podnošenje ponuda,19.8.2014.,1,13/14
140,MO 2014 Q4,312,MO,7093608,Gdi GIS-DATA,Specijalizovani licencni softveri za OJ MO i VS: Softveri razni,Dobra,23031000,19200000,Pregovarački postupak sa objavljivanjem poziva za podnošenje ponuda,28.11.2014.,1,4873
170,MUP 2014 Q1 ,3,MUP,7008104,n/a,Pružanje usluge tehničke podrške za BULL serverski sistem,Usluge,2999000,2500000,Pregovarački postupak čl.36.1.2 i  UJN br.404-02-699/13,16/ januar 2014,1,18
178,MUP 2014 Q1 ,11,MUP,7008104,n/a,Usluga servisiranja forenzičkih instrumenata,Usluge,1800000,1500000,Pregovarački postupak čl.36.1.2 i  UJN br.404-02-699/13,13/ februar 2014,1,33
179,MUP 2014 Q1 ,12,MUP,7008104,n/a,Usluga servisisranja ABIS arsenala-balistički sistem,Usluge,1200000,1000000,Pregovarački postupak čl.36.1.2 i  UJN br.404-02-699/13,13/ februar 2014,1,32
157,MUP 2013 Q4 ,2,MUP,7008104,n/a,"Delovi zaštitne opreme ze potrebe pripadnika MUP-a. Partija1-štitovi, šlemovi, laki prsluci,štitnici za laktove i kolena.",Dobra,29284000,25000000,Pregovarački postupak čl.35.1.2,29/ novembar 2013,3,176
167,MUP 2013 Q4 ,18,MUP,7008104,n/a,Nabavla licence GIS platforme,Dobra,4199000,3500000,Pregovarački postupak čl.35.1.2,23/ decembar 2013,1,197
236,MUP Q4 2013,19,MUP,7008104,n/a,Nabavk usluge održavanja sertifikacionog sistema,Usluge,13184000,11000000,Pregovarački postupak čl.35.1.2,31/ decembar 2013,1,202
144,MUP 2013 Q2,1,MUP,7008104,n/a,Nabavka nove funkcije NEXTBIZ softvera za uvođenje knjigovodstva u policijskim upravama,Dobra,2400000,2000000,"Pregovarački postupak bez objavljivanja javnog poziva-ZJN 2008,po čl.24.1.3",31/ maj 2013,1,65/2013
5,MO 2013 Q2,50,MO,7093608,FARMALOGIST,Lek rituksimab,Dobra,36103000,35497000,Pregovarački postupak bez objavljivanja javnog poziva,8.4.2013.,3,169/13
6,MO 2013 Q2,51,MO,7093608,BEOHEM konzorcijum FARMIX,"Imunoglobulin IgG 7S a 2,5gr,5gr i albumin humani 20% partija 3",Dobra,39023000,37293000,Pregovarački postupak bez objavljivanja javnog poziva,8.4.2013.,3,137/13
11,MO 2013 Q2,136,MO,7093608,DRAGER TEHNIKA d.o.o.,Механички вентилатор Drager (41 комад),Usluge,2201000,2200000,Pregovarački postupak bez objavljivanja javnog poziva,17.4.2013.,1,831/13
12,MO 2013 Q2,141,MO,7093608, PHARMA SWISS,Biološka terapija Etanercept rastvor za inj.sc 50 mg/ml,Dobra,39302000,36391000,Pregovarački postupak bez objavljivanja javnog poziva,19.4.2013.,1,167/13
13,MO 2013 Q2,157,MO,7093608,ADOC,n/a,Dobra,27786000,25728000,Pregovarački postupak bez objavljivanja javnog poziva,24.4.2013.,2,168/13
14,MO 2013 Q2,172,MO,7093608,BEOLASER,Скенер Toshiba TSY-101A Aquilion CX 128,Usluge,13680000,11400000,Pregovarački postupak bez objavljivanja javnog poziva,29.4.2013.,1,583/13
18,MO 2013 Q2,197,MO,7093608,BEOLASER d.o.o,Скенер Toshiba Aquilion 64 CFX,Usluge,13680000,11400000,Pregovarački postupak bez objavljivanja javnog poziva,31.5.2013.,1,583/13
21,MO 2013 Q3,22,MO,7093608,EUMED,Хирушки конци партија 9,Dobra,24639000,26600000,Pregovarački postupak bez objavljivanja javnog poziva,25.07.2013,7,669/13
26,MO 2013 Q3,51,MO,7093608, PREMIUM SURGICAL COMPANY,"СнПС-медицински потрошни материјал за потребе ОП блока,партије 11,12,14,15 до 27",Dobra,12485000,13760000,Pregovarački postupak bez objavljivanja javnog poziva,19.08.2013.,4,665/13
