idNum,izvestaj,br,sifra_nabavke,narucilac,maticni_broj,firma,opis_predmeta,predmet,orn,vrsta_predmeta,cena_pdv,procenjena_cena,postupak,datum,broj_ponuda,br_nabavke,br_ugovora,link
1,MO 2013 Q3,22,111773,MO,7093608,EUMED,Хирушки конци партија 9,Друга добра,Медицински потрошни материјал,Dobra,"22,814,000 din.","26,600,000 din.",Pregovarački postupak bez objavljivanja javnog poziva,25.07.2013,7,669/13,,
2,MO 2013 Q3,34,109399,MO,7093608,"Marinković Hofmann"" do.o. Велика Моштаница",Уређаји за контролу и одржавање моторних возила,"техничка опрема за обављање делатности (уређаји, машине, апарати, механизација и сл.)",Опрема и помоћни производи за превоз,Dobra,"8,665,000 din.","14,440,000 din.",Otvoreni,13.08.2013.,1,43/13,,
3,MO 2013 Q3,51,129411,MO,7093608, PREMIUM SURGICAL COMPANY,"СнПС-медицински потрошни материјал за потребе ОП блока,партије 11,12,14,15 до 27",Друга добра,Медицински потрошни материјал,Dobra,"11,350,000 din.","13,760,000 din.",Pregovarački postupak bez objavljivanja javnog poziva,19.08.2013.,4,665/13,,
4,MO 2013 Q3,79,120700,MO,7093608,FRESENIUS MEDICAL CARE,"СнПС за хемодијализу партије 2,9,10,11,14,15,26 до30",Друга добра,Медицински потрошни материјал,Dobra,"11,945,000 din.","12,417,000 din.",Pregovarački postupak bez objavljivanja javnog poziva,03.09.2013.,6,678/13,6910-47,
5,MO 2013 Q3,83,115162,MO,7093608,"Предузеће за производњу,монтажу,ремонт и сервис лифтова и покретних степеница ""vVMPS"" doo",месечно одржавање 26 лифтова у току 2013 и 2014 године са дежурством у ван радно време и празником у објекту ВМА,услуге одржавања и поправке,Услуге одржавања лифтова,Usluge,"4,680,000 din.","4,680,000 din.",Otvoreni,08.09.2013.,1,661/13,,
6,MO 2013 Q3,90,161227,MO,7093608,НИС а.д.,Пратећа погонска средства,горива и мазива,"Гориво типа керозина за млазне авионе, Безоловни бензин, Дизел гориво (EN 590)",Dobra,"15,304,000 din.","23,608,000 din.",Otvoreni,11.09.2013.,7,14/13,,
7,MO 2013 Q3,110,148225,MO,7093608, БЕОЛЕК,Поправка видео дуоденоскопа производње Pentax typ ED-3485T,услуге одржавања и поправке,Услуге поправке и одржавања медицинске и прецизне опреме,Usluge,"657,000 din.","660,000 din.",Pregovarački postupak bez objavljivanja javnog poziva,18.09.2013.,1,7603,,
8,MO 2013 Q3,124,107509,MO,7093608,"ГП ""МОРАВА ИН"" доо","Адаптација простора на II етажи, ламела RR1 објекта ВМА за потребе смештаја ИЗОЛАТОРА",општи радови на зградама и у ниској градњи (без посебних спецификација),Радови на објектима или деловима објеката високоградње и нискоградње,Radovi,"5,935,000 din.","8,083,000 din.",Otvoreni,26.09.2013.,2,1/13,,
9,MO 2013 Q4,16,144233,MO,7093608,BEOLASER,"Апарат ултразвучни са комплетом сонди за преглед абдомена, бубрега, штитасте жлезде и крвних судова за потребе Клинике за нефрологију ВМА",друга добра,Разни медицински уређаји и производи,Dobra,"4,285,000 din.","5,000,000 din.",Otvoreni,03.10.2013.,2,35/13,,
10,MO 2013 Q4,17,,MO,7093608,Comes doo,репроматеријал штампарски: папир и картон,потрошни материјал,Обрађена хартија и картон,Dobra,"5,707,000 din.","5,170,000 din.",Otvoreni,08.10.2013.,1,2018,,
11,MO 2013 Q4,18,,MO,7093608,Comes doo,репроматеријал штампарски: папир и картон,потрошни материјал,Обрађена хартија и картон,Dobra,"4,692,000 din.","4,700,000 din.",Otvoreni,18.10.2013.,1,2018,,
12,MO 2013 Q4,21,147621,MO,7093608,Енерготок ДОО,Радови на ремонту и припреми термоенергетских постројењa,услуге одржавања и поправке,Грађевински радови,Radovi,"12,443,000 din.","15,000,000 din.",Otvoreni,08.10.2013.,2,5776,,
13,MO 2013 Q4,27,136200,MO,7093608,НИС а.д.,"Уље за ложење, средње С",горива и мазива,Лож уље,Dobra,"214,892,000 din.","208,285,000 din.",Otvoreni,14.10.2013.,1,71/2013,,
14,MO 2013 Q4,35,105761,MO,7093608,Clas comerc doo,део складишних артикала хране-пастеризовано поврће,"храна, намирнице","Храна, пиће, дуван и сродни производи",Dobra,"6,975,000 din.","9,100,000 din.",Otvoreni,24.10.2013.,4,60/13,,
